artist_id,artist_name
1043383,Elvins.J
1135273,Eric
2720,贰贝勒·木森 (J-Forest)
816055,Easy Mind
2716,诶姆
1089203,Elfar
1040044,enderdz
1047255,Easion_Ng
981041,Eveight
2735,EazyToo
1050341,EACH9
1019328,EDEN
1049701,国际友人-
1080049,“阿兰姐”
1039919,EI身份证
1050576,EXIA
1054116,儿时玩具
1049900,冉明阳
2710,恩炀
1043015,JIN DJs
2730,Eugene Pao
1031114,换号中bigbus
1039900,EC Robot
905634,二凉
1073043,ElectronOscillator
2723,Ezfic
1038223,一针见喜
975774,二向柚
2728,二宝
1047206,Electronic Dance Music
2717,Ethen Chen
1192402,二龙湖浩哥
13971421,Empty ORio
1093034,EryXDY
12403137,尔冬明
14099080,E&M经贸民谣
12363201,ERIC
12871192,EC一平
12074153,EY魂
12492296,Eggace
1043309,耳东 
12404124,Eric Song
938073,二玩家
12370200,Evis Wy
2733,Evade
12263400,Egil Ellevill
2721,eclove23
12213188,俄比尔古
13195211,二辰
1049964,E.D.J HyunYu
12332127,二飞
1039360,ElectricGirl
12263011,二亮哥
762400,Ever Ending Kicks
12170031,耳机
2724,E歌
1050175,二龙
1039579,Emxi
artist_id,artist_name
2738,方大同
2747,费玉清
2739,方力申
2736,范逸臣
2775,樊凡
957020,冯佳界
2741,房祖名
2742,方泂镔
2743,费翔
2737,范宗沛
725039,冯允谦
2768,付笛声
2791,付辛博
2740,傅聪
1132196,冯建宇
4544,佛山DJ明仔
1081940,甫平
862024,范忆堂
1043488,范恩
2754,冯晓泉
228462,冯翰铭
2753,冯德伦
956281,符家浚
1081292,Firah
2816,冯绍峰
2764,范思威
2802,肥宝
2786,范睿
1039404,Forkyrie
1050405,F1y Syn
1032016,风子
896230,冯巩
1039141,方雨晨
1049257,冯小波
977192,风雷
2749,范圣琦
1047027,Ferrison
1163007,方磊
2758,冯乔
2752,方锦龙
2803,范圣霖
2808,冯晓荣
2777,符致逸
2793,樊少华
2757,傅振辉
1077058,菲莫拉
1024299,Oily Fish
1050334,Fosto
2750,Finn
1161038,冯柯
2788,Faber
1132467,方少言
1132372,冯行龙
2810,浮尘
2827,付豪
2813,冯泽雨
2761,浮克
1050441,F.BING.KAI
2748,Funck
1022050,Fattwo
1041080,冯博
2792,冯磊
2790,冯铭潮
1087516,方治权
2839,飞翔
2756,冯杰
802015,付俊杰
2759,范竞马
1025042,梵墨
907004,费嘉
1016120,冯光
2766,方顺吉
908116,冯满天
2762,方奕
865007,法老
1039402,fx
2778,冯言
2769,冯伟棠
1081898,疯哥张
1081399,冯光华
2771,冯少先
1132739,FroZenUniverse
2765,范振锋
1019125,范宏伟
809018,Ca$hFlow
1039295,范洛
1018070,浮小生July
1057234,FACEVÔID
2795,方迪
1115016,FOM
1019745,范朋飞
1046239,奉枫
1048005,范文夺
2751,Funky末吉
1087202,Fre浩成
2781,傅振荣
2805,冯家俊
2799,范竟马
2829,范星光
2779,方子浩
artist_id,artist_name
2849,古巨基
2842,光良
2863,高进
2922,郭德纲
2852,郭富城
2843,郭顶
2963,高安
2868,关喆
2853,关正杰
2948,宫傲
2981,葛平
2848,郭峰
2870,甘仕良
2861,关楚耀
2850,顾嘉辉
2947,国蛋
2841,高晓松
2874,顾峰
2859,管平湖
2862,龚一
2867,哏德全
2878,顾海滨
3007,郭少杰
2879,关智斌
1043146,光合唱片
900276,戈锐
2928,高夫
2844,古天乐
2846,高明骏
2851,郭子
5311,苟瀚中
2892,高林生
2857,高凌风
2856,高枫
3020,过江龙
3042,高正洋
2885,光头李进
908209,Gordon扬豆仔
2890,恭硕良
3031,关栋天
2945,歌浴森
2847,郭伟亮
2872,关德辉
1049027,郭京飞
2959,根呷
905095,嘎玛西周
2946,刮刮乐
2972,高山林
2925,管维嘉
1049741,尕金乐队
2875,郭浩男
1049033,高铭
2912,郭炳坚
2871,广智
2926,高杰
2969,关泽楠
2909,郭晋安
1044179,攻击
3029,高信
2881,高皓正
2899,关贵敏
2911,郭颂
1039344,果粒陈
2962,格茸农布
1039129,宫无后
2865,谷峰
2891,郭品超
2987,郭一凡
2960,高韶青
2887,高向鹏
887107,葛维永
1124443,gilas0994
2855,郭敬明
2903,甘子辉
820439,谷柏杉
188689,高世章
2949,高原
2858,郭小霖
1087492,Grenadn
3000,耿为华
2869,古皓
2880,郭虔哲
2854,郭英男
2910,郭桂彬
3002,管呆
839567,GZ
190012,怪兽
2889,苟伟
1132304,郭好为
861441,GBZ
4443,刘光蕊
3003,高阳
2994,尕让邓真
1053246,郭纯
2902,高见
2954,高峰
2898,顾建华
1039850,龚硕
2979,格杰白玛
2971,高登
artist_id,artist_name
3348,回音哥
3066,胡彦斌
3249,河图
861777,华晨宇
3273,胡夏
3064,胡歌
3058,后弦
3081,胡伟立
3255,黄渤
3071,郝云
3063,黄义达
3415,霍尊
3086,海鸣威
3072,韩磊
3084,洪卓立
3059,黄霑
3120,霍建华
3069,洪启
3322,黄英华
3094,黄晓明
3077,欢子
3116,黄家强
3090,何炅
3272,韩庚
3073,黄凯芹
1006030,洪尘
3065,黄立行
3079,黄品源
3068,黄大炜
3126,黄宗泽
1049179,Hanser
3082,黄安
3061,黄磊
1025202,黄子韬
3056,胡德夫
3307,晃儿
3060,黄建为
3421,黄勇
3330,胡鸿钧
3106,黄永灿
3259,呼斯楞
3112,何润东
3070,黄玠
3102,黄靖伦
3080,黄贯中
3093,黄征
223221,陈斐
3118,黑龙
3078,黄伟文
1045031,黄立纲
3256,黄明志
3104,骅梓
3162,胡兵
3055,何勇
3217,哈孜肯
3075,何训田
3138,何家劲
3105,何维健
789450,何山
3076,黄秋生
3123,黄国俊
3057,黄舒骏
3378,何崇志
1039221,荷马先生
1053259,HUSH
3250,火风
3121,黄阅
94064,Howie Lee
3100,黄中原
